vai~|~1187341~|~v~|~~|~will (used to express the third person singular future tense)~|~
vamos~|~1126475~|~v~|~~|~forms the analytic first-person plural future indicative tense: we will~|~
vamos~|~1126475~|~v~|~~|~forms the analytic first-person plural imperative: let’s~|~
vou~|~896624~|~v~|~~|~(I) will (forms the first-person singular future indicative tense)~|~
ser~|~857006~|~v~|~~|~forms the passive voice~|~
ser~|~857006~|~v~|~~|~Auxiliary verb for the passive voice~|~
ser~|~857006~|~v~|~~|~precedes verb in participle; to be~|~
ser~|~857006~|~v~|~~|~Denotes a permanent quality; to be;~|~
ser~|~857006~|~v~|~~|~Denotes location in time; to be;~|~
ser~|~857006~|~v~|~~|~to be correct~|~
ser~|~857006~|~v~|~~|~to be true; particularly as answer or reaffirmation of a previous statement~|~
ser~|~857006~|~v~|~~|~to cost (to be worth a given amount of money)~|~
ser~|~857006~|~v~|~~|~to happen; to take place~|~
ter~|~609640~|~v~|~~|~to have~|~
ter~|~609640~|~v~|~~|~must; to have to~|~
ter~|~609640~|~v~|~~|~to consider (assign some quality to)~|~
ter~|~609640~|~v~|~~|~there be (to exist, physically or abstractly)~|~
ter~|~609640~|~v~|~~|~to give birth to~|~
ter~|~609640~|~v~|~~|~to have~|~
dizer~|~595850~|~v~|~~|~to communicate~|~
dizer~|~595850~|~v~|~~|~either verbally or in writing~|~
dizer~|~595850~|~v~|~~|~to discern~|~
dizer~|~595850~|~v~|~~|~to tell~|~
dizer~|~595850~|~v~|~~|~to distinguish~|~
dizer~|~595850~|~v~|~~|~to indicate in a written form~|~
dizer~|~595850~|~v~|~~|~to say~|~
dizer~|~595850~|~v~|~~|~pronounce~|~
ver~|~464936~|~v~|~~|~to see; to understand~|~
ver~|~464936~|~v~|~~|~to see (to witness or observe by personal experience)~|~
ver~|~464936~|~v~|~~|~to tell; to notice (to take notice of)~|~
ver~|~464936~|~v~|~~|~to visit a place or someone~|~
tão~|~440869~|~v~|~~|~eye dialect of estão~|~
ir~|~417862~|~v~|~~|~will; to be going to; Used as an alternative to the simple future tense~|~
ir~|~417862~|~v~|~~|~to go~|~
ficar~|~336281~|~v~|~~|~followed by gerund~|~
ficar~|~336281~|~v~|~~|~forms the habitual aspect~|~
ficar~|~336281~|~v~|~~|~to engage in a romantic relationship with someone for one night or some short period of time~|~
ficar~|~336281~|~v~|~~|~not to go any further~|~
ficar~|~336281~|~v~|~~|~to remain (to be left over)~|~
ficar~|~336281~|~v~|~~|~to stay (to remain in a particular place)~|~
falar~|~323972~|~v~|~~|~to communicate by any means~|~
falar~|~323972~|~v~|~~|~to talk to~|~
falar~|~323972~|~v~|~~|~to tell (to convey by speech)~|~
falar~|~323972~|~v~|~~|~to say something~|~
falar~|~323972~|~v~|~~|~to speak (to be able to communicate in a language)~|~
estar~|~281942~|~v~|~~|~followed by the preposition a and infinitive (Portugal) or by gerund (Brazil)~|~
estar~|~281942~|~v~|~~|~forms the progressive aspect~|~
estar~|~281942~|~v~|~~|~to be (denotes a transient quality; a quality expected to change)~|~
estar~|~281942~|~v~|~~|~to be (indicates location in space)~|~
estar~|~281942~|~v~|~~|~to cost (to be worth a certain amount of money)~|~
estar~|~281942~|~v~|~~|~especially of something whose price changes often~|~
saber~|~249301~|~v~|~~|~to know a fact~|~
saber~|~249301~|~v~|~~|~to know a value~|~
saber~|~249301~|~v~|~~|~to know how to do something~|~
dar~|~245566~|~v~|~~|~to consider (assign some quality to)~|~
dar~|~245566~|~v~|~~|~to administer (to cause to take (medicine))~|~
dar~|~245566~|~v~|~~|~to be enough~|~
dar~|~245566~|~v~|~~|~to cause (to produce as a result)~|~
dar~|~245566~|~v~|~~|~to give (to carry out a physical interaction with something)~|~
